PRIM_STATE,NAICS,NAICS_TITLE,I_GROUP,OWN_CODE,SOC_CODE,TITLE,O_GROUP,TOT_EMP,EMP_PRSE,JOBS_1000,LOC_QUOTIENT,H_MEAN,A_MEAN,H_MEDIAN,A_MEDIAN
OH,0,Cross-industry,cross-industry,1235,11-9111.00,Medical and Health Services Managers,detailed,16940,2.2,3.257,1.05,53.13,110510,47.38,98550
OH,0,Cross-industry,cross-industry,1235,11-9121.00,Natural Sciences Managers,detailed,940,8.8,0.182,0.34,57.54,119680,50.66,105370
OH,0,Cross-industry,cross-industry,1235,11-9131.00,Postmasters and Mail Superintendents,detailed,470,0,0.091,1.01,40.03,83270,38.87,80850
OH,0,Cross-industry,cross-industry,1235,11-9141.00,"Property, Real Estate, and Community Association Managers",detailed,9890,5.7,1.902,1.14,30.18,62780,22.97,47780
OH,0,Cross-industry,cross-industry,1235,11-9151.00,Social and Community Service Managers,detailed,4930,3.4,0.948,0.85,34.21,71160,30.13,62680
OH,0,Cross-industry,cross-industry,1235,11-9161.00,Emergency Management Directors,detailed,330,3.4,0.063,0.86,37.58,78170,36.89,76740
OH,0,Cross-industry,cross-industry,1235,11-9171.00,Funeral Home Managers,detailed,430,13.9,0.082,0.91,41.2,85690,35.58,74000
OH,0,Cross-industry,cross-industry,1235,11-9179.00,"Personal Service Managers, All Other",detailed,120,40.8,0.022,0.43,.,.,.,.
OH,0,Cross-industry,cross-industry,1235,11-9199.00,"Managers, All Other",detailed,9900,2.2,1.904,0.54,57.05,118650,49.41,102780
OH,0,Cross-industry,cross-industry,1235,13-0000.00,Business and Financial Operations Occupations,major,319410,0.8,61.413,0.96,35.86,74580,30.79,64050
OH,0,Cross-industry,cross-industry,1235,13-1011.00,"Agents and Business Managers of Artists, Performers, and Athletes",detailed,80,29.4,0.014,0.16,34.37,71480,23.12,48100
OH,0,Cross-industry,cross-industry,1235,13-1020.00,Buyers and Purchasing Agents,detailed,18940,2.4,3.642,1.17,34.03,70770,30.37,63170
OH,0,Cross-industry,cross-industry,1235,13-1031.00,"Claims Adjusters, Examiners, and Investigators",detailed,8470,4.9,1.628,0.82,32.11,66800,29.96,62320
OH,0,Cross-industry,cross-industry,1235,13-1032.00,"Insurance Appraisers, Auto Damage",detailed,450,48,0.087,1.07,32.52,67640,30.13,62680
OH,0,Cross-industry,cross-industry,1235,13-1041.00,Compliance Officers,detailed,9320,2.9,1.792,0.76,34.7,72180,30.51,63470
OH,0,Cross-industry,cross-industry,1235,13-1051.00,Cost Estimators,detailed,7900,3.8,1.519,1.02,33.57,69830,30.42,63280
OH,0,Cross-industry,cross-industry,1235,13-1071.00,Human Resources Specialists,detailed,34250,2.3,6.585,1.25,30.73,63910,28.91,60130
OH,0,Cross-industry,cross-industry,1235,13-1075.00,Labor Relations Specialists,detailed,3070,7.1,0.591,1.3,33.89,70500,37.16,77290
OH,0,Cross-industry,cross-industry,1235,13-1081.00,Logisticians,detailed,7630,4.2,1.466,1.09,37.34,77670,37.03,77030
OH,0,Cross-industry,cross-industry,1235,13-1082.00,Project Management Specialists,detailed,31700,2.4,6.095,1.15,41.22,85740,38.2,79460
OH,0,Cross-industry,cross-industry,1235,13-1111.00,Management Analysts,detailed,24220,3.8,4.657,0.85,43.38,90230,38.17,79400
OH,0,Cross-industry,cross-industry,1235,13-1121.00,"Meeting, Convention, and Event Planners",detailed,3030,5.6,0.583,0.84,26.61,55340,23.34,48560
OH,0,Cross-industry,cross-industry,1235,13-1131.00,Fundraisers,detailed,3590,5,0.69,1.18,29.17,60670,28.91,60130
OH,0,Cross-industry,cross-industry,1235,13-1141.00,"Compensation, Benefits, and Job Analysis Specialists",detailed,2790,9.8,0.536,0.86,32.22,67020,29.49,61340
OH,0,Cross-industry,cross-industry,1235,13-1151.00,Training and Development Specialists,detailed,14970,4,2.878,1.21,27.71,57640,23.76,49410
OH,0,Cross-industry,cross-industry,1235,13-1161.00,Market Research Analysts and Marketing Specialists,detailed,28540,2.5,5.487,1.06,32.73,68090,29.55,61460
OH,0,Cross-industry,cross-industry,1235,13-1199.00,"Business Operations Specialists, All Other",detailed,25130,1.9,4.832,0.66,35.56,73960,31.77,66080
OH,0,Cross-industry,cross-industry,1235,13-2011.00,Accountants and Auditors,detailed,45570,1.8,8.761,0.94,36.8,76550,33.46,69600
OH,0,Cross-industry,cross-industry,1235,13-2020.00,Property Appraisers and Assessors,detailed,1720,14.1,0.33,0.8,36.3,75490,30.43,63290
OH,0,Cross-industry,cross-industry,1235,13-2031.00,Budget Analysts,detailed,820,8,0.158,0.47,38.42,79900,37.18,77330
OH,0,Cross-industry,cross-industry,1235,13-2041.00,Credit Analysts,detailed,2670,8.6,0.512,1.05,36.73,76400,34.74,72260
OH,0,Cross-industry,cross-industry,1235,13-2051.00,Financial and Investment Analysts,detailed,8010,2.8,1.54,0.74,39.18,81490,37.3,77590
OH,0,Cross-industry,cross-industry,1235,13-2052.00,Personal Financial Advisors,detailed,8200,5.1,1.577,0.84,52.39,108960,39.22,81570
OH,0,Cross-industry,cross-industry,1235,13-2053.00,Insurance Underwriters,detailed,3240,6.2,0.623,0.81,37.65,78300,37.04,77050
OH,0,Cross-industry,cross-industry,1235,13-2054.00,Financial Risk Specialists,detailed,1730,5.8,0.333,0.86,47.14,98060,47.23,98250
OH,0,Cross-industry,cross-industry,1235,13-2061.00,Financial Examiners,detailed,2610,3.9,0.502,1.16,37.43,77850,36.65,76230
OH,0,Cross-industry,cross-industry,1235,13-2071.00,Credit Counselors,detailed,1130,8.9,0.216,0.98,27.65,57510,23.56,49010
OH,0,Cross-industry,cross-industry,1235,13-2072.00,Loan Officers,detailed,12280,4.1,2.36,0.98,34.72,72210,29.96,62320
OH,0,Cross-industry,cross-industry,1235,13-2081.00,"Tax Examiners and Collectors, and Revenue Agents",detailed,1250,2,0.24,0.65,33.78,70260,30.51,63470
OH,0,Cross-industry,cross-industry,1235,13-2082.00,Tax Preparers,detailed,2200,13.9,0.423,0.72,20.96,43600,14.98,31150
OH,0,Cross-industry,cross-industry,1235,13-2099.00,"Financial Specialists, All Other",detailed,3930,3.3,0.756,0.86,39.43,82020,38.6,80290
OH,0,Cross-industry,cross-industry,1235,15-0000.00,Computer and Mathematical Occupations,major,162510,1.4,31.245,0.95,41.33,85970,38.19,79440
OH,0,Cross-industry,cross-industry,1235,15-1211.00,Computer Systems Analysts,detailed,22420,5.9,4.311,1.2,45.47,94580,45.83,95330
OH,0,Cross-industry,cross-industry,1235,15-1212.00,Information Security Analysts,detailed,4150,5.7,0.798,0.71,47.39,98570,47.62,99040
OH,0,Cross-industry,cross-industry,1235,15-1221.00,Computer and Information Research Scientists,detailed,250,16.2,0.049,0.22,56.6,117720,57.28,119140
OH,0,Cross-industry,cross-industry,1235,15-1231.00,Computer Network Support Specialists,detailed,7740,4.8,1.488,1.19,30.74,63930,29,60330
OH,0,Cross-industry,cross-industry,1235,15-1232.00,Computer User Support Specialists,detailed,27180,4.5,5.227,1.13,24.7,51380,22.96,47760
OH,0,Cross-industry,cross-industry,1235,15-1241.00,Computer Network Architects,detailed,4750,5.8,0.912,0.76,53.49,111260,49.41,102770
OH,0,Cross-industry,cross-industry,1235,15-1242.00,Database Administrators,detailed,2700,6.4,0.52,0.85,42.83,89080,41.15,85590
OH,0,Cross-industry,cross-industry,1235,15-1243.00,Database Architects,detailed,1490,27.5,0.286,0.8,49.94,103880,47.84,99510
OH,0,Cross-industry,cross-industry,1235,15-1244.00,Network and Computer Systems Administrators,detailed,15140,3.6,2.91,1.29,41.78,86910,38.2,79450
OH,0,Cross-industry,cross-industry,1235,15-1251.00,Computer Programmers,detailed,3420,14.8,0.658,0.61,37.18,77340,36.57,76070
OH,0,Cross-industry,cross-industry,1235,15-1252.00,Software Developers,detailed,46110,3.5,8.866,0.92,48.97,101870,48.02,99880
OH,0,Cross-industry,cross-industry,1235,15-1253.00,Software Quality Assurance Analysts and Testers,detailed,5920,12.1,1.138,0.84,39.24,81620,37.65,78320
OH,0,Cross-industry,cross-industry,1235,15-1254.00,Web Developers,detailed,2210,12.9,0.425,0.71,36.96,76880,37.24,77450
OH,0,Cross-industry,cross-industry,1235,15-1255.00,Web and Digital Interface Designers,detailed,3210,14.7,0.617,1.06,32.91,68450,37.09,77150
OH,0,Cross-industry,cross-industry,1235,15-1299.00,"Computer Occupations, All Other",detailed,6690,2.8,1.285,0.49,44.58,92720,46.05,95780
OH,0,Cross-industry,cross-industry,1235,15-2011.00,Actuaries,detailed,860,13.1,0.165,1.01,50.63,105320,47.88,99590
OH,0,Cross-industry,cross-industry,1235,15-2021.00,Mathematicians,detailed,40,18.8,0.008,0.63,52.5,109190,52.57,109350
OH,0,Cross-industry,cross-industry,1235,15-2031.00,Operations Research Analysts,detailed,4210,4.7,0.809,1.16,43.76,91020,40.91,85100
OH,0,Cross-industry,cross-industry,1235,15-2041.00,Statisticians,detailed,600,5.1,0.116,0.52,37.51,78020,36.17,75230
OH,0,Cross-industry,cross-industry,1235,15-2051.00,Data Scientists,detailed,3320,5.3,0.639,0.85,42.22,87820,38.6,80290
OH,0,Cross-industry,cross-industry,1235,15-2099.00,"Mathematical Science Occupations, All Other",detailed,90,12.8,0.017,0.6,48.51,100910,39.12,81360
OH,0,Cross-industry,cross-industry,1235,17-0000.00,Architecture and Engineering Occupations,major,87420,1.6,16.808,0.97,40.26,83750,37.39,77760
OH,0,Cross-industry,cross-industry,1235,17-1011.00,"Architects, Except Landscape and Naval",detailed,2400,6.2,0.462,0.65,39.42,81980,37.45,77890
OH,0,Cross-industry,cross-industry,1235,17-1012.00,Landscape Architects,detailed,300,24.1,0.058,0.47,24.92,51830,23.21,48280
OH,0,Cross-industry,cross-industry,1235,17-1021.00,Cartographers and Photogrammetrists,detailed,260,10.6,0.051,0.57,36.06,75000,36.83,76600
OH,0,Cross-industry,cross-industry,1235,17-1022.00,Surveyors,detailed,1010,8.9,0.195,0.59,31.23,64960,29.34,61030
OH,0,Cross-industry,cross-industry,1235,17-2011.00,Aerospace Engineers,detailed,3160,8,0.607,1.51,56.15,116790,58.46,121600
OH,0,Cross-industry,cross-industry,1235,17-2021.00,Agricultural Engineers,detailed,70,6.8,0.013,1.7,42.89,89210,47.4,98590
OH,0,Cross-industry,cross-industry,1235,17-2031.00,Bioengineers and Biomedical Engineers,detailed,420,5.3,0.081,0.67,43.59,90680,45.33,94290
OH,0,Cross-industry,cross-industry,1235,17-2041.00,Chemical Engineers,detailed,950,14.1,0.183,1.07,50.52,105080,46.88,97510
OH,0,Cross-industry,cross-industry,1235,17-2051.00,Civil Engineers,detailed,7410,6.5,1.426,0.66,41.91,87170,38.03,79100
OH,0,Cross-industry,cross-industry,1235,17-2061.00,Computer Hardware Engineers,detailed,550,12,0.105,0.2,45.85,95370,46.51,96740
OH,0,Cross-industry,cross-industry,1235,17-2071.00,Electrical Engineers,detailed,5930,5.5,1.139,0.86,46.14,95980,45.89,95440
OH,0,Cross-industry,cross-industry,1235,17-2072.00,"Electronics Engineers, Except Computer",detailed,3730,6.6,0.717,0.94,48.33,100520,47.62,99040
OH,0,Cross-industry,cross-industry,1235,17-2081.00,Environmental Engineers,detailed,1480,41.6,0.285,0.94,47.94,99710,47.52,98830
OH,0,Cross-industry,cross-industry,1235,17-2111.00,"Health and Safety Engineers, Except Mining Safety Engineers and Inspectors",detailed,460,11.3,0.088,0.54,44.59,92760,39.87,82920
OH,0,Cross-industry,cross-industry,1235,17-2112.00,Industrial Engineers,detailed,15320,2.7,2.945,1.41,42.7,88820,38.24,79550
OH,0,Cross-industry,cross-industry,1235,17-2131.00,Materials Engineers,detailed,1850,6,0.355,2.32,45.42,94470,42.11,87590
OH,0,Cross-industry,cross-industry,1235,17-2141.00,Mechanical Engineers,detailed,13650,4,2.625,1.33,41.82,86980,37.96,78950
OH,0,Cross-industry,cross-industry,1235,17-2151.00,"Mining and Geological Engineers, Including Mining Safety Engineers",detailed,170,31.5,0.033,0.63,42.62,88650,38.08,79200
OH,0,Cross-industry,cross-industry,1235,17-2161.00,Nuclear Engineers,detailed,330,1.2,0.064,0.71,55.88,116230,59.1,122920
OH,0,Cross-industry,cross-industry,1235,17-2171.00,Petroleum Engineers,detailed,100,32.4,0.02,0.13,53.21,110670,48.15,100150
OH,0,Cross-industry,cross-industry,1235,17-2199.00,"Engineers, All Other",detailed,6070,4.7,1.167,1.08,47.82,99460,46.88,97500
OH,0,Cross-industry,cross-industry,1235,17-3011.00,Architectural and Civil Drafters,detailed,3620,5.3,0.697,0.97,30.11,62630,29.64,61650
OH,0,Cross-industry,cross-industry,1235,17-3012.00,Electrical and Electronics Drafters,detailed,480,16.7,0.093,0.63,29.84,62060,29.15,60620
OH,0,Cross-industry,cross-industry,1235,17-3013.00,Mechanical Drafters,detailed,1890,8.2,0.363,1.07,29.14,60620,28.74,59780
OH,0,Cross-industry,cross-industry,1235,17-3019.00,"Drafters, All Other",detailed,530,18.2,0.102,0.94,26.06,54200,23.08,48000
OH,0,Cross-industry,cross-industry,1235,17-3021.00,Aerospace Engineering and Operations Technologists and Technicians,detailed,810,18,0.156,2.02,33.45,69580,29.76,61900
OH,0,Cross-industry,cross-industry,1235,17-3022.00,Civil Engineering Technologists and Technicians,detailed,1850,8.9,0.356,0.78,28.65,59590,29.02,60360
OH,0,Cross-industry,cross-industry,1235,17-3023.00,Electrical and Electronic Engineering Technologists and Technicians,detailed,1820,6.1,0.35,0.49,31.26,65020,29.96,62310
OH,0,Cross-industry,cross-industry,1235,17-3024.00,Electro-Mechanical and Mechatronics Technologists and Technicians,detailed,610,9.6,0.117,1.42,26.2,54490,23.04,47930
OH,0,Cross-industry,cross-industry,1235,17-3025.00,Environmental Engineering Technologists and Technicians,detailed,540,19.1,0.105,0.99,26.85,55840,22.83,47490
OH,0,Cross-industry,cross-industry,1235,17-3026.00,Industrial Engineering Technologists and Technicians,detailed,3600,5.9,0.692,1.57,27.1,56360,27.65,57510
OH,0,Cross-industry,cross-industry,1235,17-3027.00,Mechanical Engineering Technologists and Technicians,detailed,1990,7.1,0.383,1.34,28.39,59050,28.52,59330
OH,0,Cross-industry,cross-industry,1235,17-3028.00,Calibration Technologists and Technicians,detailed,260,12.6,0.049,0.81,32.08,66720,29.61,61590
OH,0,Cross-industry,cross-industry,1235,17-3029.00,"Engineering Technologists and Technicians, Except Drafters, All Other",detailed,2300,9.7,0.442,0.85,26.57,55260,23.21,48280
OH,0,Cross-industry,cross-industry,1235,17-3031.00,Surveying and Mapping Technicians,detailed,1470,14,0.282,0.71,23.53,48940,22.55,46910
OH,0,Cross-industry,cross-industry,1235,19-0000.00,"Life, Physical, and Social Science Occupations",major,34740,1.8,6.679,0.74,36.21,75320,31.13,64760
OH,0,Cross-industry,cross-industry,1235,19-1012.00,Food Scientists and Technologists,detailed,570,9.9,0.11,1.15,46.29,96280,40.47,84180
OH,0,Cross-industry,cross-industry,1235,19-1013.00,Soil and Plant Scientists,detailed,400,11.2,0.078,0.7,32.94,68520,29.63,61620
OH,0,Cross-industry,cross-industry,1235,19-1021.00,Biochemists and Biophysicists,detailed,200,18.7,0.038,0.15,40.91,85100,37.61,78230
OH,0,Cross-industry,cross-industry,1235,19-1022.00,Microbiologists,detailed,390,6.9,0.075,0.54,28.77,59830,23.41,48690
OH,0,Cross-industry,cross-industry,1235,19-1023.00,Zoologists and Wildlife Biologists,detailed,170,8.8,0.032,0.29,29.69,61760,30.65,63750
OH,0,Cross-industry,cross-industry,1235,19-1029.00,"Biological Scientists, All Other",detailed,420,3.6,0.08,0.24,38.66,80420,39.61,82390
OH,0,Cross-industry,cross-industry,1235,19-1031.00,Conservation Scientists,detailed,440,5.2,0.085,0.53,30.12,62650,27.66,57530
OH,0,Cross-industry,cross-industry,1235,19-1032.00,Foresters,detailed,160,10.8,0.031,0.46,33.54,69760,31.2,64890
OH,0,Cross-industry,cross-industry,1235,19-1041.00,Epidemiologists,detailed,220,8.2,0.043,0.74,37.88,78790,36.6,76120
OH,0,Cross-industry,cross-industry,1235,19-1042.00,"Medical Scientists, Except Epidemiologists",detailed,..,..,..,..,47.34,98460,39.75,82680
OH,0,Cross-industry,cross-industry,1235,19-1099.00,"Life Scientists, All Other",detailed,40,25.2,0.008,0.17,43.88,91270,42.1,87570
OH,0,Cross-industry,cross-industry,1235,19-2012.00,Physicists,detailed,410,23.4,0.08,0.56,64.72,134620,62.86,130760
OH,0,Cross-industry,cross-industry,1235,19-2021.00,Atmospheric and Space Scientists,detailed,110,9.4,0.021,0.34,50.14,104290,46.36,96420
OH,0,Cross-industry,cross-industry,1235,19-2031.00,Chemists,detailed,3110,5.8,0.598,1.05,37.78,78590,36.46,75830
OH,0,Cross-industry,cross-industry,1235,19-2032.00,Materials Scientists,detailed,300,14.9,0.058,1.22,46.12,95920,45.64,94930
OH,0,Cross-industry,cross-industry,1235,19-2041.00,"Environmental Scientists and Specialists, Including Health",detailed,2100,6.3,0.403,0.74,36.37,75660,37.3,77590
OH,0,Cross-industry,cross-industry,1235,19-2042.00,"Geoscientists, Except Hydrologists and Geographers",detailed,340,14.5,0.066,0.39,37.44,77870,37.38,77750
OH,0,Cross-industry,cross-industry,1235,19-2043.00,Hydrologists,detailed,290,12.4,0.056,1.23,41.71,86750,39.53,82220
OH,0,Cross-industry,cross-industry,1235,19-2099.00,"Physical Scientists, All Other",detailed,580,19.1,0.111,0.79,50.19,104400,48.15,100160
OH,0,Cross-industry,cross-industry,1235,19-3011.00,Economists,detailed,240,16.2,0.046,0.41,52.11,108390,50.35,104730
OH,0,Cross-industry,cross-industry,1235,19-3022.00,Survey Researchers,detailed,110,29.3,0.02,0.32,27.85,57920,28.05,58350
OH,0,Cross-industry,cross-industry,1235,19-3032.00,Industrial-Organizational Psychologists,detailed,..,..,..,..,49.08,102090,57.85,120320
OH,0,Cross-industry,cross-industry,1235,19-3033.00,Clinical and Counseling Psychologists,detailed,2010,10,0.386,0.94,50.7,105460,47.13,98030
OH,0,Cross-industry,cross-industry,1235,19-3034.00,School Psychologists,detailed,2110,5.4,0.405,1,35.68,74200,37.07,77100
OH,0,Cross-industry,cross-industry,1235,19-3039.00,"Psychologists, All Other",detailed,420,7.2,0.082,0.83,46.62,96970,50.72,105500
OH,0,Cross-industry,cross-industry,1235,19-3041.00,Sociologists,detailed,90,2.8,0.017,0.88,36.66,76250,39.53,82220
OH,0,Cross-industry,cross-industry,1235,19-3051.00,Urban and Regional Planners,detailed,810,11.8,0.155,0.56,34.28,71310,30.72,63900
OH,0,Cross-industry,cross-industry,1235,19-3091.00,Anthropologists and Archeologists,detailed,50,45.4,0.01,0.2,26.24,54580,23.6,49090
OH,0,Cross-industry,cross-industry,1235,19-3093.00,Historians,detailed,..,..,..,..,30.07,62540,23.78,49450
OH,0,Cross-industry,cross-industry,1235,19-3099.00,"Social Scientists and Related Workers, All Other",detailed,1470,1.5,0.283,1.16,41.31,85920,39.56,82280
OH,0,Cross-industry,cross-industry,1235,19-4012.00,Agricultural Technicians,detailed,290,23.5,0.055,0.57,17.52,36450,17.39,36170
OH,0,Cross-industry,cross-industry,1235,19-4013.00,Food Science Technicians,detailed,200,11.9,0.039,0.48,28.28,58830,28.21,58680
OH,0,Cross-industry,cross-industry,1235,19-4021.00,Biological Technicians,detailed,2610,5.7,0.501,0.93,26.49,55090,23.99,49890
OH,0,Cross-industry,cross-industry,1235,19-4031.00,Chemical Technicians,detailed,1880,7.2,0.361,0.88,25.13,52270,23.42,48710
OH,0,Cross-industry,cross-industry,1235,19-4042.00,"Environmental Science and Protection Technicians, Including Health",detailed,1170,11.1,0.225,0.93,21.39,44480,21.85,45450
OH,0,Cross-industry,cross-industry,1235,19-4043.00,"Geological Technicians, Except Hydrologic Technicians",detailed,130,31.9,0.025,0.38,29.03,60390,27.71,57640
OH,0,Cross-industry,cross-industry,1235,19-4044.00,Hydrologic Technicians,detailed,60,16.5,0.011,0.46,23.94,49800,23.06,47950
OH,0,Cross-industry,cross-industry,1235,19-4051.00,Nuclear Technicians,detailed,240,0.3,0.047,1.24,40.48,84190,37.89,78810
OH,0,Cross-industry,cross-industry,1235,19-4061.00,Social Science Research Assistants,detailed,300,14.2,0.057,0.28,23.43,48730,23.59,49080
OH,0,Cross-industry,cross-industry,1235,19-4071.00,Forest and Conservation Technicians,detailed,270,10.4,0.053,0.24,21.63,44990,22.4,46590
OH,0,Cross-industry,cross-industry,1235,19-4092.00,Forensic Science Technicians,detailed,450,1.1,0.087,0.72,35.26,73330,30.89,64250
OH,0,Cross-industry,cross-industry,1235,19-4099.00,"Life, Physical, and Social Science Technicians, All Other",detailed,1340,21.1,0.258,0.58,24.2,50330,23.66,49210
OH,0,Cross-industry,cross-industry,1235,19-5011.00,Occupational Health and Safety Specialists,detailed,5300,3.1,1.019,1.35,38.01,79060,37.43,77850
OH,0,Cross-industry,cross-industry,1235,19-5012.00,Occupational Health and Safety Technicians,detailed,740,8.9,0.142,0.92,24.49,50940,23.46,48790
OH,0,Cross-industry,cross-industry,1235,21-0000.00,Community and Social Service Occupations,major,78290,1.1,15.053,0.95,24.3,50550,22.91,47660
OH,0,Cross-industry,cross-industry,1235,21-1012.00,"Educational, Guidance, and Career Counselors and Advisors",detailed,11390,2.2,2.189,1.04,30.29,62990,29.39,61140
OH,0,Cross-industry,cross-industry,1235,21-1013.00,Marriage and Family Therapists,detailed,230,40.9,0.044,0.11,26.25,54600,24.29,50530
OH,0,Cross-industry,cross-industry,1235,21-1015.00,Rehabilitation Counselors,detailed,3280,5.9,0.63,0.98,21.69,45120,18.42,38320
OH,0,Cross-industry,cross-industry,1235,21-1018.00,"Substance Abuse, Behavioral Disorder, and Mental Health Counselors",detailed,11600,4,2.23,1.01,24.57,51110,22.84,47510
OH,0,Cross-industry,cross-industry,1235,21-1019.00,"Counselors, All Other",detailed,710,23.4,0.137,0.66,22.81,47440,22.42,46640
OH,0,Cross-industry,cross-industry,1235,21-1021.00,"Child, Family, and School Social Workers",detailed,10780,4.2,2.073,0.86,23.17,48200,22.95,47740
OH,0,Cross-industry,cross-industry,1235,21-1022.00,Healthcare Social Workers,detailed,6960,4.4,1.338,1.08,27.94,58120,29.07,60470
OH,0,Cross-industry,cross-industry,1235,21-1023.00,Mental Health and Substance Abuse Social Workers,detailed,5640,5.6,1.084,1.34,22.69,47190,22.55,46910
OH,0,Cross-industry,cross-industry,1235,21-1029.00,"Social Workers, All Other",detailed,3010,4,0.579,1.64,27.11,56380,27.59,57390
OH,0,Cross-industry,cross-industry,1235,21-1091.00,Health Education Specialists,detailed,1930,7.6,0.371,0.94,29.11,60550,29.15,60630
OH,0,Cross-industry,cross-industry,1235,21-1092.00,Probation Officers and Correctional Treatment Specialists,detailed,3070,1.6,0.59,0.9,26.87,55880,27.02,56210
OH,0,Cross-industry,cross-industry,1235,21-1093.00,Social and Human Service Assistants,detailed,13450,2.9,2.585,0.91,18.12,37690,17.67,36750
OH,0,Cross-industry,cross-industry,1235,21-1094.00,Community Health Workers,detailed,2300,5.7,0.442,1.02,19.83,41240,18.48,38430
OH,0,Cross-industry,cross-industry,1235,21-1099.00,"Community and Social Service Specialists, All Other",detailed,1930,5.5,0.371,0.58,24.54,51040,22.82,47470
OH,0,Cross-industry,cross-industry,1235,21-2011.00,Clergy,detailed,1490,6.3,0.287,0.8,25.35,52730,23.58,49040
